-1720*     *event   *Egypt          *EX     *Hebrews go down to Egypt *
-1750*     *event   *Thera          *CLAS 42*Earthquake at Thera(ends Minoan peace) *
-1290*     *event   *Egypt          *BA     *Hebrew Exodus: Egypt under Ramses II *
-1250*     *event   *Israel         *EX     *Hebrews enter Promised Land *
-1184*     *event   *Troy           *CLAS 42*Fall of Troy (Mycenae: King Agamemnon) *
-1175*     *event   *Israel         *EX     *Philistines settle in Canaan *
-922 *     *event   *Israel         *ENGL 62*Israel/Judah split (10 + 2) *
-950 *     *event   *E Hemisphere   *BA     *Arabs sail to China (take Typhus god) *
-776 *     *event   *Greece         *CLAS 42*1st Olympics *
-753 *     *event   *Rome           *CLAS 42*Rome founded (an Etruscan colony) *
-750 *     *work    *Greece         *CLAS 42*Iliad, Odessey, Homer *
-725 *     *work    *Greece         *CLAS 42*Theogony, Hesiod (730-720) *
-701 *     *event   *Israel         *CLAS 42*Assyrians take 10 tribes of Israel *
-598 *     *event   *Jerusalem      *CLAS 42*Nebacchanezar sacks Jerusalem (1st deportation) *
-587 *     *event   *Jerusalem      *ENGL 62*Temple of Jerusalem destroyed *
-540 *     *event   *Israel         *ENGL 62*Hebrews return to rebuild under Persian rule *
-480 *     *event   *Greece         *ENGL 62*Athens defeats Persia/Xerxes at Salamis (at sea) *
-479 *     *event   *Greece         *ENGL 62*Sparta defeats Persia/Xerxes (on land) *
-475 *     *work    *Greece         *CLAS 42*Oresteia, Aeschylus *
-467 *     *event   *Greece         *CLAS 42*Seven against Thebes produced in Athens (Aeschylus) *
-463 *     *work    *Greece         *CLAS 42*Prometheus, Aeschylus (470 or 456) *
-442 *     *event   *Greece         *CLAS 42*Antigone produced (Sophocles) *
-431 *     *event   *Greece         *CLAS 42*start of Peloponnesian War *
-428 *     *event   *Greece         *CLAS 42*Hippolytus play produced (Euripides) *
-409 *     *work    *Greece         *CLAS 42*Cyclops, Euripides *
-405 *     *event   *Greece         *CLAS 42*Bacchae produced(Euripides:posthumous) *
-146 *     *event   *Carthage       *CM     *Carthage destroyed by Romans *
-118 *     *event   *Narbonne       *CM     *Narbonne:1st Roman city outside Italy *
-30  *     *work    *Rome           *CLAS 42*Aeneid, Virgil *
8    *     *event   *Tomi           *CM     *Ovid bannished to Tomi (Art of Love) *
35   *     *event   *Jerusalem      *GZ     *St. Stephen stoned *
43   *     *event   *England        *MS     *Romans invade Britain *
64   *     *event   *Rome           *MS     *9 day fire, blamed on Christians *
64   *     *event   *Rome           *MS     *St Peter crucified (upside down), Nero *
65   *     *event   *Rome           *GZ     *St Paul beheaded under Nero *
67   *     *work    *E Hemishere    *ENGL 62*Mark written *
68   *     *event   *Qumran         *ENGL 62*Qumran Monastery destroyed by Romans *
70   *     *event   *Jerusalem      *CM     *temple destroyed by Romans *
73   *     *event   *Masada         *CM     *Masada falls to Romans *
79   *     *event   *Italy          *CM     *Vesuvius buries Pompeii & Herculaneum *
80   *     *work    *Rome           *MS     *Colosseum completed *
81   *     *work    *Rome           *MS     *Arch of Titus,Spoils of Jerusalem *
90   *     *work    *E Hemishere    *ENGL 62*John written *
108  *     *person  *Ephysus        *MS     *John dies *
106  *     *event   *Romania        *CM     *Romans conquer Dacia *
113  *     *work    *Rome           *MS     *Column of Trajan *
115  *     *event   *Mesopotamia    *CM     *Romans conquer Mesopotamia *
121  *     *work    *Scotland       *CM     *Hadrian's Wall started *
150  *     *work    *Fayyum         *EK     *Fayyum mummy portraits *
173  *     *work    *Rome           *MS     *Equestrian statue of Marcus Aurelius *
180  *     *event   *Scotland       *MS     *Romans pull back to Hadrian's Wall *
193  *     *work    *Rome           *MS     *Column of Marcus Aurelius *
202  *     *event   *Rome           *MS     *1st time permissible to be Christian *
203  *     *work    *Rome           *CM     *Baths of Caracalla *
231  *     *work    *Dura-Europus   *       *1st Christian House Church: plan *
238  *     *event   *Europe         *MS     *Goths cross the Danube *
250  *     *event   *Rome           *CM     *strong Christian persecution (emperor Decius) *
256  *     *event   *Dura-Europus   *MS     *city destroyed by Persians *
258  *     *event   *Rome           *MS     *St Lawrence martyred *
259  *     *event   *France         *CM     *Gaul breaks away *
260  *     *event   *Rome           *MS     *Christianity a 'permitted' religion, under Gallienus *
270  *     *event   *Rome           *CM     *Aurelius becomes emperor *
274  *     *event   *France         *CM     *Gaul reconquered by Aurelius *
275  *     *event   *France         *CM     *towns in Gaul ordered to build walls *
280  *     *event   *France         *MS     *Goths invade Gaul *
285  *     *event   *Europe         *CM     *Maximian made co-emperor *
286  *     *event   *Britain        *CM     *Britain breaks away *
293  *     *event   *Europe         *CM     *2 more co-emperors named: Constantius & Galerius *
296  *     *event   *Britain        *CM     *Britain recovered by Constantius *
300  *     *work    *Rome           *CM     *Catacomb: SS Peter & Marcellinus *
303  *     *event   *Europe         *CM     *Jupiter sacrifice required(Diocletian) *
305  *     *event   *Europe         *CM     *Diocletian & Maximian quit leaving Constantius & Galerius *
306  *     *event   *York           *CM     *Constantius dies, son Constantine crowned *
312  *     *event   *Rome           *CM     *Battle of Milvian Bridge (Chi-Rho) (defeat of Maxentius) *
313  *     *event   *Italy          *MS     *Edict of Milan (toleration of Christianity) *
314  *     *event   *Arles          *CM     *Conference of Arles, 1st Christian counsel *
320  *     *work    *Rome           *CM     *St John Lateran cathed (1st basilica church, no transcept) *
321  *     *event   *Europe         *CM     *Constantine declares Sunday is Sabbath *
324  *     *event   *Europe         *CM     *Capital moved to Constantinople *
325  *     *event   *Nicaea         *CM     *Council of Nicaea, Asia Minor, set basic dogmas *
330  *     *event   *Constantinople *GZ     *Dedication of Constantinople *
336  *     *event   *Alexandria     *MS     *death of Arius *
337  *     *event   *Europe         *MS     *death of Constantine:empire divided 3 ways (3 sons) *
350  *     *event   *Europe         *MS     *Huns invade Europe *
351  *     *event   *Europe         *GZ     *empire united under the 1 remaining son of Constantine *
354  *     *event   *Rome           *GZ     *Constantina (Sta Constanza) dies *
362  *     *event   *Constantinople *GZ     *persecution renewed & paganism restored (Julian the Apostate) *
363  *     *event   *Europe         *CM     *end of Constantinian dynasty *
